TS0031,667031.686,1241314.303,3187.782
TS0030,667031.813,1241306.006,3187.811
TS0029,667032.285,1241292.594,3187.913
TS0028,667032.837,1241281.350,3187.969
TS0027,667033.255,1241270.152,3188.052
TS0026,667033.802,1241257.692,3188.134
TS0025,667034.304,1241245.177,3188.217
TS0024,667034.813,1241232.690,3188.317
TS0023,667035.304,1241220.181,3188.397
TS0022,667035.787,1241209.260,3188.481
TS0021,667036.291,1241198.422,3188.571
TS0020,667036.679,1241187.525,3188.679
TS0019,667037.115,1241176.633,3188.773
TS0018,667037.557,1241164.784,3188.864
TS0017,667037.994,1241154.889,3188.960
TS0016,667062.246,1241150.848,3190.184
TS0015,667050.941,1241155.520,3189.595
TS0014,667050.538,1241165.324,3189.502
TS0013,667050.077,1241177.096,3189.390
TS0012,667049.564,1241187.978,3189.302
TS0011,667049.231,1241198.870,3189.216
TS0010,667048.771,1241209.875,3189.140
TS0009,667048.356,1241220.690,3189.051
TS0008,667047.832,1241233.187,3188.966
TS0007,667047.211,1241245.694,3188.864
TS0006,667046.831,1241258.198,3188.781
TS0005,667046.304,1241270.668,3188.702
TS0004,667045.828,1241281.832,3188.640
TS0003,667045.309,1241293.090,3188.548
TS0002,667044.764,1241306.474,3188.471
TS0001,667044.352,1241315.056,3188.430
2569856,667044.706,1241409.366,3192.964
