TS0001,666714.61700,1242231.49700,3175.04421,
TS0002,666712.38300,1242221.89000,3175.25279,
TS0003,666710.05800,1242209.50200,3175.05684,
TS0004,666689.99600,1242213.15600,3175.44283,
TS0005,666691.72600,1242222.81000,3175.64106,
TS0006,666693.69400,1242234.20700,3175.47190,
TS0007,666673.36800,1242216.58900,3175.76562,
TS0008,666674.61000,1242227.02800,3175.99259,
TS0009,666675.91000,1242237.79800,3175.82190,
TS0010,666652.58900,1242242.59300,3176.28993,
TS0011,666652.75700,1242231.95800,3176.42176,
TS0012,666650.55300,1242221.48200,3176.20306,
TS0013,666627.54700,1242226.65300,3176.63807,
TS0014,666629.67900,1242236.49600,3176.84725,
TS0015,666632.13400,1242247.79600,3176.69530,
TS0016,666607.88400,1242253.86400,3177.18931,
TS0017,666606.23900,1242242.17800,3177.29249,
TS0018,666603.42900,1242234.18200,3177.13252,
TS0019,666582.18500,1242240.47800,3177.54926,
TS0020,666584.94200,1242250.83000,3177.77216,
TS0021,666588.37700,1242260.69200,3177.56967,
TS0022,666566.52700,1242267.79200,3178.01408,
TS0023,666562.86200,1242256.00200,3178.16437,
TS0024,666559.70200,1242248.58700,3178.01508,
TS0025,666538.14000,1242255.15300,3178.39498,
TS0026,666541.84000,1242264.65900,3178.59597,
TS0027,666545.67700,1242274.60000,3178.42395,
TS0028,666524.10200,1242284.65300,3178.66046,
TS0029,666519.70900,1242274.79800,3178.87943,
TS0030,666514.53700,1242264.68300,3178.68073,
TS0031,666493.34900,1242275.06800,3178.78471,
TS0032,666497.08900,1242283.37900,3178.96704,
TS0033,666501.72900,1242294.44500,3178.73321,
TS0034,666480.76300,1242302.09400,3178.66632,
TS0035,666476.13100,1242292.06400,3178.86126,
TS0036,666472.07200,1242283.43300,3178.66949,
TS0037,666450.53900,1242293.58000,3178.39340,
TS0038,666454.83700,1242303.28500,3178.58061,
TS0039,666459.05700,1242313.24600,3178.35584,
TS0040,666438.05400,1242324.13300,3177.87657,
TS0041,666432.35600,1242314.25300,3178.09189,
TS0042,666426.97300,1242303.95600,3177.86731,
TS0043,666406.84900,1242315.19600,3177.25044,
TS0044,666412.12100,1242324.65800,3177.46949,
TS0045,666416.96300,1242333.82700,3177.26109,
TS0046,666395.82800,1242345.48400,3176.40854,
TS0047,666390.56300,1242335.94500,3176.60129,
TS0048,666384.69800,1242326.62500,3176.36629,
TS0049,666365.43200,1242339.13800,3175.41343,
TS0050,666371.75300,1242348.50900,3175.65032,
TS0051,666378.27600,1242357.43900,3175.47099,
TS0052,666360.31100,1242368.30200,3174.50932,
TS0053,666353.63600,1242360.28800,3174.65795,
TS0054,666347.56800,1242351.68700,3174.45181,
TS0055,666328.44700,1242364.07500,3173.41891,
TS0056,666335.05200,1242373.92500,3173.58440,
TS0057,666340.42300,1242381.66900,3173.40002,
TS0058,666320.86900,1242394.22700,3172.34674,
TS0059,666314.56600,1242385.30000,3172.54116,
TS0060,666308.47100,1242377.48300,3172.32482,
TS0061,666289.78900,1242390.89800,3171.28252,
TS0062,666296.38500,1242399.93900,3171.48464,
TS0063,666302.61800,1242408.48500,3171.26548,
TS0064,666283.68300,1242422.27600,3170.19911,
TS0065,666277.10200,1242413.82900,3170.39912,
TS0066,666270.19600,1242405.25500,3170.17529,
TS0067,666252.03300,1242420.30900,3169.11632,
TS0068,666258.47000,1242428.70300,3169.30794,
TS0069,666265.98100,1242437.40100,3169.11456,
TS0070,666247.83700,1242451.66000,3168.07067,
TS0071,666241.30000,1242444.46800,3168.25710,
TS0072,666233.00300,1242435.72100,3168.00000,
TS0073,666215.49800,1242451.28200,3166.93978,
TS0074,666223.49600,1242459.98000,3167.17791,
TS0075,666230.19500,1242467.38600,3166.98367,
TS0076,666216.92600,1242479.60000,3166.15656,
TS0077,666208.84200,1242471.07800,3166.30637,
TS0078,666201.86400,1242464.67600,3166.08984,
TS0079,666184.62200,1242480.80200,3165.00596,
TS0080,666191.77800,1242489.56900,3165.18648,
TS0081,666199.73600,1242497.38100,3165.00467,
TS0082,666183.75400,1242513.83300,3163.94842,
TS0083,666174.55900,1242506.91000,3164.06651,
TS0084,666166.61700,1242500.77000,3163.82282,
TS0085,666150.52500,1242517.99000,3162.75613,
TS0086,666157.85400,1242524.22500,3162.95931,
TS0087,666166.61800,1242532.07600,3162.80037,
TS0088,666154.60300,1242547.52800,3161.87640,
TS0089,666145.84400,1242541.15600,3162.05272,
TS0090,666136.45200,1242533.93600,3161.79589,
TS0091,666122.45400,1242551.00400,3160.80535,
TS0092,666129.69700,1242556.90100,3160.99283,
TS0093,666139.52600,1242563.79300,3160.87718,
TS0094,666126.61000,1242583.02500,3159.77404,
TS0095,666115.32500,1242576.73700,3159.90059,
TS0096,666106.56800,1242571.52100,3159.64229,
TS0097,666094.06700,1242587.27500,3158.72672,
