TS101,667044.352,1241315.056,3188.41068
TS102,667044.764,1241306.474,3188.46291
TS103,667045.309,1241293.09,3188.54201
TS104,667045.828,1241281.832,3188.61493
TS105,667046.304,1241270.668,3188.68815
TS106,667046.831,1241258.198,3188.7729
TS107,667047.211,1241245.694,3188.85376
TS108,667047.832,1241233.187,3188.95013
TS109,667048.356,1241220.69,3189.0451
TS110,667048.771,1241209.875,3189.12812
TS111,667049.231,1241198.87,3189.21713
TS112,667049.564,1241187.978,3189.30169
TS113,667050.077,1241177.096,3189.3978
TS114,667050.538,1241165.324,3189.50022
TS115,667050.941,1241155.52,3189.58846
TS117,667037.994,1241154.889,3188.94327
TS118,667037.557,1241164.784,3188.85384
TS119,667037.115,1241176.633,3188.75098
TS120,667036.679,1241187.525,3188.65848
TS121,667036.291,1241198.422,3188.56951
TS122,667035.787,1241209.26,3188.48118
TS123,667035.304,1241220.181,3188.39527
TS124,667034.813,1241232.69,3188.30135
TS125,667034.304,1241245.177,3188.21086
TS126,667033.802,1241257.692,3188.12361
TS127,667033.255,1241270.152,3188.03907
TS128,667032.837,1241281.35,3187.96749
TS129,667032.285,1241292.594,3187.89585
TS130,667031.813,1241306.006,3187.81792
TS131,667031.686,1241314.303,3187.77767
